County_State,Number_Insured,NInsured_CI_LowerBound,NInsured_CI_UpperBound,Number_Uninsured,NUninsured_CI_LowerBound,NUninsured_CI_UpperBound,time,State_Code,County_Code
"autauga, al",42769,42277,43261,4431,3939,4923,2015,01,001
"baldwin, al",143956,142301,145611,18751,17096,20406,2015,01,003
"barbour, al",16165,15898,16432,2482,2215,2749,2015,01,005
"bibb, al",15070,14830,15310,2027,1787,2267,2015,01,007
"blount, al",40721,40117,41325,6609,6005,7213,2015,01,009
"bullock, al",6366,6245,6487,1080,959,1201,2015,01,011
"butler, al",14322,14092,14552,1998,1768,2228,2015,01,013
"calhoun, al",83683,82638,84728,10764,9719,11809,2015,01,015
"chambers, al",23842,23439,24245,3662,3259,4065,2015,01,017
"cherokee, al",17804,17535,18073,2355,2086,2624,2015,01,019
"chilton, al",31179,30627,31731,5603,5051,6155,2015,01,021
"choctaw, al",9096,8964,9228,1219,1087,1351,2015,01,023
"clarke, al",17445,17164,17726,2505,2224,2786,2015,01,025
"clay, al",9189,9018,9360,1542,1371,1713,2015,01,027
"cleburne, al",10622,10457,10787,1465,1300,1630,2015,01,029
"coffee, al",37468,36973,37963,5077,4582,5572,2015,01,031
"colbert, al",39215,38709,39721,4651,4145,5157,2015,01,033
"conecuh, al",8483,8323,8643,1457,1297,1617,2015,01,035
"coosa, al",7303,7171,7435,1138,1006,1270,2015,01,037
"covington, al",26336,25957,26715,3681,3302,4060,2015,01,039
"crenshaw, al",9925,9760,10090,1458,1293,1623,2015,01,041
"cullman, al",57203,56336,58070,9426,8559,10293,2015,01,043
"dale, al",36290,35772,36808,4703,4185,5221,2015,01,045
"dallas, al",29839,29365,30313,4119,3645,4593,2015,01,047
"dekalb, al",48845,47998,49692,10467,9620,11314,2015,01,049
"elmore, al",58715,58058,59372,6033,5376,6690,2015,01,051
"escambia, al",23838,23378,24298,4388,3928,4848,2015,01,053
"etowah, al",73308,72348,74268,9969,9009,10929,2015,01,055
"fayette, al",11681,11499,11863,1580,1398,1762,2015,01,057
"franklin, al",22029,21599,22459,4336,3906,4766,2015,01,059
"geneva, al",18038,17698,18378,3356,3016,3696,2015,01,061
"greene, al",6015,5911,6119,830,726,934,2015,01,063
"hale, al",10792,10622,10962,1481,1311,1651,2015,01,065
"henry, al",11640,11444,11836,1820,1624,2016,2015,01,067
"houston, al",76001,75190,76812,10048,9237,10859,2015,01,069
"jackson, al",36310,35754,36866,5827,5271,6383,2015,01,071
"jefferson, al",489193,485317,493069,62034,58158,65910,2015,01,073
"lamar, al",9499,9344,9654,1374,1219,1529,2015,01,075
"lauderdale, al",65515,64679,66351,8256,7420,9092,2015,01,077
"lawrence, al",23517,23153,23881,3702,3338,4066,2015,01,079
"lee, al",120165,118535,121795,15691,14061,17321,2015,01,081
"limestone, al",66804,65929,67679,9188,8313,10063,2015,01,083
"lowndes, al",7492,7372,7612,1023,903,1143,2015,01,085
"macon, al",12559,12363,12755,1527,1331,1723,2015,01,087
"madison, al",265616,263240,267992,30501,28125,32877,2015,01,089
"marengo, al",14330,14121,14539,1740,1531,1949,2015,01,091
"marion, al",20401,20069,20733,3058,2726,3390,2015,01,093
"marshall, al",66046,65066,67026,12095,11115,13075,2015,01,095
"mobile, al",302194,299120,305268,45101,42027,48175,2015,01,097
"monroe, al",15108,14829,15387,2492,2213,2771,2015,01,099
"montgomery, al",163548,161573,165523,22761,20786,24736,2015,01,101
