Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
330232,rensselaer,ny,12933,14355,15911,2013-07-01,2016-06-30
041319,sevier,ar,15661,17545,19477,2013-07-01,2016-06-30
050761,los angeles,ca,17103,18145,19214,2013-07-01,2016-06-30
100166,sarasota,fl,17340,18585,19973,2013-07-01,2016-06-30
151307,warren,in,13395,15194,17192,2013-07-01,2016-06-30
510030,randolph,wv,22833,24289,25815,2013-04-01,2016-03-31
140125,madison,il,14440,16012,17748,2013-07-01,2016-06-30
310081,gloucester,nj,13762,14600,15462,2013-07-01,2016-06-30
110016,troup,ga,22054,24424,26997,2013-07-01,2016-06-30
161301,wright,ia,15188,17745,20759,2013-07-01,2016-06-30
390086,clearfield,pa,20002,21159,22504,2013-04-01,2016-03-31
500011,king,wa,16259,17348,18476,2013-07-01,2016-06-30
261319,lincoln,mo,18668,20760,23032,2013-07-01,2016-06-30
140059,jersey,il,14953,16455,18162,2013-07-01,2016-06-30
100242,bay,fl,23698,24519,25375,2013-04-01,2016-03-31
240093,blue earth,mn,21163,22142,23172,2013-04-01,2016-03-31
250040,jackson,ms,24208,26076,28027,2013-07-01,2016-06-30
100167,broward,fl,18590,19888,21152,2013-07-01,2016-06-30
190034,vermilion,la,21899,23954,26343,2013-04-01,2016-03-31
271325,lake,mt,12197,13734,15274,2013-07-01,2016-06-30
440049,shelby,tn,20804,21205,21621,2013-04-01,2016-03-31
430013,davison,sd,18901,19839,20808,2013-04-01,2016-03-31
110168,floyd,ga,14218,15000,15804,2013-07-01,2016-06-30
490075,danville city,va,15685,16810,18046,2013-07-01,2016-06-30
360236,clermont,oh,20017,22938,26199,2013-07-01,2016-06-30
361308,ashtabula,oh,14060,16845,19646,2013-07-01,2016-06-30
050225,butte,ca,17517,18106,18728,2013-04-01,2016-03-31
341307,pender,nc,14064,16479,19298,2013-07-01,2016-06-30
430048,lawrence,sd,18416,19113,19835,2013-04-01,2016-03-31
450154,val verde,tx,13381,14738,16190,2013-07-01,2016-06-30
100135,leon,fl,21171,21862,22593,2013-04-01,2016-03-31
320009,bernalillo,nm,16446,17779,19061,2013-07-01,2016-06-30
450119,hidalgo,tx,15263,16183,17125,2013-07-01,2016-06-30
110107,bibb,ga,15831,16634,17444,2013-07-01,2016-06-30
010104,jefferson,al,15664,16908,18265,2013-07-01,2016-06-30
500049,walla walla,wa,13962,15779,17758,2013-07-01,2016-06-30
510006,harrison,wv,20815,22223,23647,2013-07-01,2016-06-30
