Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
420109,CLARENDON,SC,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
151303,JENNINGS,IN,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
330232,RENSSELAER,NY,"$12,933","$14,355","$15,911",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
010109,PICKENS,AL,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
190268,LAFAYETTE,LA,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
041319,SEVIER,AR,"$15,661","$17,545","$19,477",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050761,LOS ANGELES,CA,"$17,103","$18,145","$19,214",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
100166,SARASOTA,FL,"$17,340","$18,585","$19,973",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
151307,WARREN,IN,"$13,395","$15,194","$17,192",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
510030,RANDOLPH,WV,"$22,833","$24,289","$25,815",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
140125,MADISON,IL,"$14,440","$16,012","$17,748",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050747,ORANGE,CA,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
371338,HARMON,OK,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
310081,GLOUCESTER,NJ,"$13,762","$14,600","$15,462",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
110016,TROUP,GA,"$22,054","$24,424","$26,997",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
161301,WRIGHT,IA,"$15,188","$17,745","$20,759",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050751,LOS ANGELES,CA,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
390086,CLEARFIELD,PA,"$20,002","$21,159","$22,504",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
241303,LYON,MN,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
021308,NOME,AK,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
500011,KING,WA,"$16,259","$17,348","$18,476",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
251305,LAWRENCE,MS,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
261319,LINCOLN,MO,"$18,668","$20,760","$23,032",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
140059,JERSEY,IL,"$14,953","$16,455","$18,162",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
100242,BAY,FL,"$23,698","$24,519","$25,375",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
061325,RIO BLANCO,CO,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
240093,BLUE EARTH,MN,"$21,163","$22,142","$23,172",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
250040,JACKSON,MS,"$24,208","$26,076","$28,027",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
100167,BROWARD,FL,"$18,590","$19,888","$21,152",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
241348,LINCOLN,MN,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
190034,VERMILION,LA,"$21,899","$23,954","$26,343",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
271325,LAKE,MT,"$12,197","$13,734","$15,274",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
440049,SHELBY,TN,"$20,804","$21,205","$21,621",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
430013,DAVISON,SD,"$18,901","$19,839","$20,808",2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
400122,GUAYNABO,PR,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
110168,FLOYD,GA,"$14,218","$15,000","$15,804",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
490075,DANVILLE CITY,VA,"$15,685","$16,810","$18,046",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
